#size: 780 23																						
# Age	Height (cm)	Weight (kg)	Total fat	Visceral fat	BMI	SF Body	SF Trunk	SF Arms	SF Legs	SM Body	SM Trunk	SM Arms	SM Legs	Shoulder R	Shoulder L	Rib	Waist	Thigh R	Thigh L	Flexion Angle (deg)	Extension (cm)	Force due to extension (N)
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	5	2.5	10
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	10	3	13
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	15	3.75	22
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	20	4.25	35
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	25	5.5	50
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	30	6.5	60
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	35	7.75	74
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	40	8.5	88
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	45	9.5	102
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	50	10.5	122
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	55	11.5	135
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	60	12	138
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	0	0	6
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	5	1	9
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	10	1.75	17
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	15	2.75	24
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	20	4	31
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	25	5	35
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	30	6.25	52
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	35	7.25	67
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	40	9	88
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	45	10.25	107
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	50	11.5	124
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	55	12.5	145
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	60	13.47	159
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	0	0	6
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	5	1	12
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	10	1.75	18
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	15	2.75	24
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	20	4	30
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	25	5	38
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	30	6.25	46
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	35	7.25	61
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	40	9	75
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	45	10.25	94
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	50	11.5	113
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	55	12.5	135
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	60	13.47	168
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	0	0	7
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	5	1	9
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	10	1.75	17
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	15	2.75	21
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	20	4	26
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	25	5	33
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	30	6.25	41
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	35	7.25	57
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	40	9	66
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	45	10.25	88
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	50	11.5	110
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	55	12.5	136
25	180	63.8	12.5	3	19.69135802	8	7.3	14.1	12.9	37.9	32.6	42.4	55	56	54	20	50	24	24	60	13.47	161
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	0	0	14
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	5	1.5	17.8
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	10	2.5	23.8
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	15	3.5	31
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	20	4.5	39
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	25	5.5	46
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	30	6.5	56
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	35	7.7	72
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	40	8.9	81
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	45	9.8	95
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	50	11	105
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	55	12	117
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	60	12.8	134
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	0	0	9.8
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	5	1.5	16
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	10	2.5	21.5
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	15	3.5	27
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	20	4.5	37.5
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	25	5.5	46
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	30	6.5	52
25	168	61.9	17.3	5.5	21.9	12.1	10.6	18.3	17.5	34.8	29	40.2	52	59	57	25	50	28	30	35	7.7	64
