#size: 130 23																						
# Age	Height (cm)	Weight (kg)	Total fat	Visceral fat	BMI	SF Body	SF Trunk	SF Arms	SF Legs	SM Body	SM Trunk	SM Arms	SM Legs	Shoulder R	Shoulder L	Rib	Waist	Thigh R	Thigh L	Flexion Angle (deg)	Extension (cm)	Force due to extension (N)
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	5	1.25	6
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	10	2.75	11.66666667
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	15	4.25	26.66666667
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	20	5.5	35.66666667
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	25	6.5	46.66666667
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	30	8	61.66666667
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	35	9	72.33333333
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	40	9.75	83.33333333
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	45	11	109.3333333
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	50	11.5	119.3333333
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	55	13	137.6666667
28	174	71.3	24.6	7.5	23.6	16.9	15	24.8	24.6	32.3	25	38.4	49.6	54	56	16	52	28	26	60	14.25	161
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	0	0	0
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	5	1	5.333333333
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	10	2.25	15.33333333
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	15	3.75	23
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	20	4.75	29.33333333
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	25	5.5	40
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	30	6.75	54
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	35	8.5	61
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	40	9.5	77.33333333
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	45	10.25	80.66666667
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	50	11.75	104.3333333
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	55	12.25	110.6666667
53	168	67.6	26.7	10	24	18.3	16.3	24.6	24.8	29.2	22.1	36	46.6	50	50	22	48	22	26	60	13.5	124.3333333
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	0	0	0
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	5	1.25	8.333333333
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	10	2	14.66666667
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	15	2.75	26
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	20	3.5	36.66666667
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	25	4.5	45.33333333
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	30	5.25	59.33333333
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	35	9.25	79
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	40	10	90.33333333
25	160	48.6	19.8	3	19	13.2	11.2	20.3	19.7	33.8	27.4	40.6	51	52	48	20	48	30	24	45	10.75	113.3333333
